identifier,protein_families,pfam,pfam_clan,keyword,family,gene_name,protein_name,uniprot_kb_id
O60423,cation transport ATPase (P-type) (TC 3|IC,PF13246 (Cation_ATPase)|47.8;PF16209 (PhoLip_ATPase_N)|84.1;PF16212 (PhoLip_ATPase_C)|230.8,CL0137 (HAD),KW-0025 (Alternative splicing);KW-0067 (ATP-binding);KW-0968 (Cytoplasmic vesicle);KW-0256 (Endoplasmic reticulum);KW-0445 (Lipid transport);KW-0460 (Magnesium);KW-0472 (Membrane);KW-0479 (Metal-binding);KW-0547 (Nucleotide-binding);KW-1267 (Proteomics identification);KW-1185 (Reference proteome);KW-1278 (Translocase);KW-0812 (Transmembrane);KW-1133 (Transmembrane helix);KW-0813 (Transport),Hominidae,ATP8B3,Phospholipid-transporting ATPase IK,AT8B3_HUMAN
O60447,,PF00566 (RabGAP-TBC)|191.0;PF27580 (DDB_G0272194)|78.4,CL0816 (TBC-like),KW-0025 (Alternative splicing);KW-0131 (Cell cycle);KW-0132 (Cell division);KW-0160 (Chromosomal rearrangement);KW-0175 (Coiled coil);KW-0963 (Cytoplasm);KW-0206 (Cytoskeleton);KW-0539 (Nucleus);KW-0597 (Phosphoprotein);KW-1267 (Proteomics identification);KW-1185 (Reference proteome);KW-0832 (Ubl conjugation),Hominidae,EVI5,Ecotropic viral integration site 5 protein homolog,EVI5_HUMAN
O60494,,PF00008 (EGF)|88.4;PF00431 (CUB)|2258.9;PF07645 (EGF_CA)|67.1;PF12947 (EGF_3)|66.2,CL0001 (EGF);CL0164 (CUB),KW-0002 (3D-structure);KW-0106 (Calcium);KW-1003 (Cell membrane);KW-0153 (Cholesterol metabolism);KW-0165 (Cleavage on pair of basic residues);KW-0168 (Coated pit);KW-0846 (Cobalamin);KW-0170 (Cobalt);KW-0903 (Direct protein sequencing);KW-0225 (Disease variant);KW-1015 (Disulfide bond);KW-0245 (EGF-like domain);KW-0254 (Endocytosis);KW-0967 (Endosome);KW-0325 (Glycoprotein);KW-0443 (Lipid metabolism);KW-0458 (Lysosome);KW-0472 (Membrane);KW-0479 (Metal-binding);KW-0597 (Phosphoprotein);KW-0653 (Protein transport);KW-1267 (Proteomics identification);KW-0675 (Receptor);KW-1185 (Reference proteome);KW-0677 (Repeat);KW-0732 (Signal);KW-0753 (Steroid metabolism);KW-1207 (Sterol metabolism);KW-0813 (Transport),Hominidae,CUBN,Cubilin,CUBN_HUMAN
O60524,NEMF family|IC,PF05670 (NFACT-R_1)|145.0;PF05833 (NFACT_N)|121.9;PF11923 (NFACT-C)|107.8,CL0303 (H2TH);CL0684 (NFACT_RNA-bind),KW-0002 (3D-structure);KW-0025 (Alternative splicing);KW-0175 (Coiled coil);KW-0963 (Cytoplasm);KW-0225 (Disease variant);KW-0991 (Intellectual disability);KW-0622 (Neuropathy);KW-0539 (Nucleus);KW-0597 (Phosphoprotein);KW-1267 (Proteomics identification);KW-1185 (Reference proteome),Hominidae,NEMF,Ribosome quality control complex subunit NEMF,NEMF_HUMAN
O60566,protein kinase superfamily|IC,PF08311 (Mad3_BUB1_I)|148.3,CL0020 (TPR),KW-0002 (3D-structure);KW-0007 (Acetylation);KW-0025 (Alternative splicing);KW-0053 (Apoptosis);KW-0067 (ATP-binding);KW-0131 (Cell cycle);KW-0132 (Cell division);KW-0137 (Centromere);KW-0158 (Chromosome);KW-0963 (Cytoplasm);KW-0206 (Cytoskeleton);KW-0225 (Disease variant);KW-0418 (Kinase);KW-0995 (Kinetochore);KW-0498 (Mitosis);KW-0547 (Nucleotide-binding);KW-0539 (Nucleus);KW-0597 (Phosphoprotein);KW-1267 (Proteomics identification);KW-1185 (Reference proteome);KW-0723 (Serine/threonine-protein kinase);KW-0808 (Transferase);KW-0043 (Tumor suppressor);KW-0832 (Ubl conjugation),Hominidae,BUB1B,Mitotic checkpoint serine/threonine-protein kinase BUB1 beta,BUB1B_HUMAN
O60641,PICALM/SNAP91 family|IC,PF07651 (ANTH)|280.2,CL0020 (TPR),KW-0025 (Alternative splicing);KW-1003 (Cell membrane);KW-0168 (Coated pit);KW-0325 (Glycoprotein);KW-0472 (Membrane);KW-0488 (Methylation);KW-0597 (Phosphoprotein);KW-0653 (Protein transport);KW-1267 (Proteomics identification);KW-1185 (Reference proteome);KW-0813 (Transport),Hominidae,SNAP91,Clathrin coat assembly protein AP180,AP180_HUMAN
O60656,UDP-glycosyltransferase family|IC,PF00201 (UDPGT)|822.6,CL0113 (GT-B),KW-0025 (Alternative splicing);KW-0256 (Endoplasmic reticulum);KW-0325 (Glycoprotein);KW-0328 (Glycosyltransferase);KW-0443 (Lipid metabolism);KW-0472 (Membrane);KW-1267 (Proteomics identification);KW-1185 (Reference proteome);KW-0732 (Signal);KW-0808 (Transferase);KW-0812 (Transmembrane);KW-1133 (Transmembrane helix),Hominidae,UGT1A9,UDP-glucuronosyltransferase 1A9,UD19_HUMAN
O60658,cyclic nucleotide phosphodiesterase family|IC,PF00233 (PDEase_I)|278.6;PF00989 (PAS)|48.8;PF08629 (PDE8)|34.5;PF23198 (PDE8A_N)|223.4;PF28324 (PDE8_3rd)|31.7,CL0183 (PAS_Fold);CL0237 (HD_PDEase);CL0304 (CheY),KW-0002 (3D-structure);KW-0025 (Alternative splicing);KW-0114 (cAMP);KW-0378 (Hydrolase);KW-0479 (Metal-binding);KW-0597 (Phosphoprotein);KW-1267 (Proteomics identification);KW-1185 (Reference proteome),Hominidae,PDE8A,"High affinity cAMP-specific and IBMX-insensitive 3',5'-cyclic phosphodiesterase 8A",PDE8A_HUMAN
O60662,,PF00651 (BTB)|101.3;PF07707 (BACK)|108.3;PF24681 (Kelch_KLHDC2_KLHL20_DRC7)|97.4,CL0033 (POZ);CL0186 (Beta_propeller),KW-0025 (Alternative splicing);KW-0966 (Cell projection);KW-0963 (Cytoplasm);KW-0206 (Cytoskeleton);KW-0225 (Disease variant);KW-0256 (Endoplasmic reticulum);KW-0880 (Kelch repeat);KW-0472 (Membrane);KW-1057 (Nemaline myopathy);KW-0597 (Phosphoprotein);KW-1267 (Proteomics identification);KW-1185 (Reference proteome);KW-0677 (Repeat);KW-0703 (Sarcoplasmic reticulum);KW-0832 (Ubl conjugation),Hominidae,KLHL41,Kelch-like protein 41,KLH41_HUMAN
O60663,,PF00046 (Homeodomain)|67.4;PF00412 (LIM)|119.5,CL0123 (HTH);CL0839 (Tbcl_zf),KW-0010 (Activator);KW-0025 (Alternative splicing);KW-0217 (Developmental protein);KW-0225 (Disease variant);KW-0238 (DNA-binding);KW-0371 (Homeobox);KW-0440 (LIM domain);KW-0479 (Metal-binding);KW-0539 (Nucleus);KW-1267 (Proteomics identification);KW-1185 (Reference proteome);KW-0677 (Repeat);KW-0804 (Transcription);KW-0805 (Transcription regulation);KW-0862 (Zinc),Hominidae,LMX1B,LIM homeobox transcription factor 1-beta,LMX1B_HUMAN
O60673,DNA polymerase type-B family|IC,PF00136 (DNA_pol_B)|345.8;PF03104 (DNA_pol_B_exo1)|65.1;PF14260 (zf-C4pol)|49.4;PF15735 (DUF4683)|585.2;PF24055 (POL3_N)|93.3;PF24065 (REV3_N)|67.4,CL0194 (DNA_pol_B-like);CL0219 (RNase_H),KW-0002 (3D-structure);KW-0004 (4Fe-4S);KW-0025 (Alternative splicing);KW-0227 (DNA damage);KW-0234 (DNA repair);KW-0235 (DNA replication);KW-0238 (DNA-binding);KW-0239 (DNA-directed DNA polymerase);KW-0408 (Iron);KW-0411 (Iron-sulfur);KW-0479 (Metal-binding);KW-0548 (Nucleotidyltransferase);KW-0539 (Nucleus);KW-0597 (Phosphoprotein);KW-1267 (Proteomics identification);KW-1185 (Reference proteome);KW-0808 (Transferase);KW-0862 (Zinc);KW-0863 (Zinc-finger),Hominidae,REV3L,DNA polymerase zeta catalytic subunit,REV3L_HUMAN
O60675,bZIP family|IC,PF03131 (bZIP_Maf)|111.6,CL0018 (bZIP),KW-0238 (DNA-binding);KW-1017 (Isopeptide bond);KW-0539 (Nucleus);KW-0597 (Phosphoprotein);KW-1267 (Proteomics identification);KW-1185 (Reference proteome);KW-0678 (Repressor);KW-0804 (Transcription);KW-0805 (Transcription regulation);KW-0832 (Ubl conjugation),Hominidae,MAFK,Transcription factor MafK,MAFK_HUMAN
O60683,pex2/pex10/pex12 family|IC,PF04757 (Pex2_Pex12)|148.9;PF13639 (zf-RING_2)|38.1,CL0229 (RING),KW-0025 (Alternative splicing);KW-0225 (Disease variant);KW-0472 (Membrane);KW-0479 (Metal-binding);KW-0576 (Peroxisome);KW-0962 (Peroxisome biogenesis);KW-0958 (Peroxisome biogenesis disorder);KW-0653 (Protein transport);KW-1267 (Proteomics identification);KW-1185 (Reference proteome);KW-0808 (Transferase);KW-0812 (Transmembrane);KW-1133 (Transmembrane helix);KW-0813 (Transport);KW-0833 (Ubl conjugation pathway);KW-0861 (Zellweger syndrome);KW-0862 (Zinc);KW-0863 (Zinc-finger),Hominidae,PEX10,Peroxisome biogenesis factor 10,PEX10_HUMAN
O60711,paxillin family|IC,PF00412 (LIM)|213.1,CL0839 (Tbcl_zf),KW-0002 (3D-structure);KW-0007 (Acetylation);KW-0010 (Activator);KW-0025 (Alternative splicing);KW-0130 (Cell adhesion);KW-0965 (Cell junction);KW-1003 (Cell membrane);KW-0966 (Cell projection);KW-0963 (Cytoplasm);KW-0440 (LIM domain);KW-0472 (Membrane);KW-0479 (Metal-binding);KW-0539 (Nucleus);KW-0597 (Phosphoprotein);KW-1267 (Proteomics identification);KW-1185 (Reference proteome);KW-0677 (Repeat);KW-0804 (Transcription);KW-0805 (Transcription regulation);KW-0862 (Zinc),Hominidae,LPXN,Leupaxin,LPXN_HUMAN
O60733,,PF00023 (Ank)|134.7;PF01734 (Patatin)|77.6;PF12796 (Ank_2)|133.5,CL0323 (Patatin);CL0465 (Ank),KW-0025 (Alternative splicing);KW-0040 (ANK repeat);KW-0112 (Calmodulin-binding);KW-1003 (Cell membrane);KW-0966 (Cell projection);KW-0145 (Chemotaxis);KW-0963 (Cytoplasm);KW-0225 (Disease variant);KW-1023 (Dystonia);KW-0378 (Hydrolase);KW-0443 (Lipid metabolism);KW-0472 (Membrane);KW-0496 (Mitochondrion);KW-0523 (Neurodegeneration);KW-0907 (Parkinson disease);KW-0908 (Parkinsonism);KW-0582 (Pharmaceutical);KW-1208 (Phospholipid metabolism);KW-1267 (Proteomics identification);KW-1185 (Reference proteome);KW-0677 (Repeat);KW-0812 (Transmembrane);KW-1133 (Transmembrane helix),Hominidae,PLA2G6,85/88 kDa calcium-independent phospholipase A2,PLPL9_HUMAN
O60755,G-protein coupled receptor 1 family|SAM,PF00001 (7tm_1)|191.9,CL0192 (GPCR_A),KW-1003 (Cell membrane);KW-1015 (Disulfide bond);KW-0297 (G-protein coupled receptor);KW-0325 (Glycoprotein);KW-0449 (Lipoprotein);KW-0472 (Membrane);KW-0564 (Palmitate);KW-0675 (Receptor);KW-1185 (Reference proteome);KW-0807 (Transducer);KW-0812 (Transmembrane);KW-1133 (Transmembrane helix),Hominidae,GALR3,Galanin receptor type 3,GALR3_HUMAN
O60825,In the C-terminal section|IC,PF00300 (His_Phos_1)|145.6;PF01591 (6PF2K)|351.0,CL0023 (P-loop_NTPase);CL0071 (His_phosphatase),KW-0002 (3D-structure);KW-0007 (Acetylation);KW-0025 (Alternative splicing);KW-0067 (ATP-binding);KW-0378 (Hydrolase);KW-0418 (Kinase);KW-0511 (Multifunctional enzyme);KW-0547 (Nucleotide-binding);KW-0597 (Phosphoprotein);KW-1267 (Proteomics identification);KW-1185 (Reference proteome);KW-0808 (Transferase),Hominidae,PFKFB2,"6-phosphofructo-2-kinase/fructose-2,6-bisphosphatase 2",F262_HUMAN
O60832,pseudouridine synthase TruB family|IC,PF01472 (PUA)|75.2;PF01509 (TruB_N)|79.5;PF08068 (DKCLD)|109.2;PF16198 (TruB_C_2)|92.3,CL0178 (PUA);CL0649 (PseudoU_synth),KW-0002 (3D-structure);KW-0007 (Acetylation);KW-0025 (Alternative splicing);KW-0898 (Cataract);KW-0963 (Cytoplasm);KW-0209 (Deafness);KW-0903 (Direct protein sequencing);KW-0225 (Disease variant);KW-1011 (Dyskeratosis congenita);KW-0413 (Isomerase);KW-1017 (Isopeptide bond);KW-0539 (Nucleus);KW-0597 (Phosphoprotein);KW-1267 (Proteomics identification);KW-1185 (Reference proteome);KW-0687 (Ribonucleoprotein);KW-0690 (Ribosome biogenesis);KW-0694 (RNA-binding);KW-0698 (rRNA processing);KW-0832 (Ubl conjugation),Hominidae,DKC1,H/ACA ribonucleoprotein complex subunit DKC1,DKC1_HUMAN
O60840,calcium channel alpha-1 subunit (TC 1|IC,PF00520 (Ion_trans)|878.3;PF08763 (Ca_chan_IQ)|104.0;PF16885 (CAC1F_C)|447.8;PF16905 (GPHH)|96.5,CL0030 (Ion_channel);CL0220 (EF_hand),KW-0025 (Alternative splicing);KW-0106 (Calcium);KW-0107 (Calcium channel);KW-0109 (Calcium transport);KW-0182 (Cone-rod dystrophy);KW-1014 (Congenital stationary night blindness);KW-0225 (Disease variant);KW-1015 (Disulfide bond);KW-0325 (Glycoprotein);KW-0407 (Ion channel);KW-0406 (Ion transport);KW-0472 (Membrane);KW-0479 (Metal-binding);KW-0597 (Phosphoprotein);KW-1267 (Proteomics identification);KW-1185 (Reference proteome);KW-0677 (Repeat);KW-0716 (Sensory transduction);KW-0812 (Transmembrane);KW-1133 (Transmembrane helix);KW-0813 (Transport);KW-0844 (Vision);KW-0851 (Voltage-gated channel),Hominidae,CACNA1F,Voltage-dependent L-type calcium channel subunit alpha-1F,CAC1F_HUMAN
O60841,TRAFAC class translation factor GTPase superfamily|IC,PF00009 (GTP_EFTU)|129.0;PF11987 (IF-2)|68.3;PF14578 (GTP_EFTU_D4)|58.2,CL0023 (P-loop_NTPase);CL0866 (ALR_C-like),KW-0002 (3D-structure);KW-0963 (Cytoplasm);KW-0903 (Direct protein sequencing);KW-0342 (GTP-binding);KW-0378 (Hydrolase);KW-0396 (Initiation factor);KW-0479 (Metal-binding);KW-0547 (Nucleotide-binding);KW-0597 (Phosphoprotein);KW-0648 (Protein biosynthesis);KW-1267 (Proteomics identification);KW-1185 (Reference proteome),Hominidae,EIF5B,Eukaryotic translation initiation factor 5B,IF2P_HUMAN
O60883,G-protein coupled receptor 1 family|SAM,PF00001 (7tm_1)|89.9,CL0192 (GPCR_A),KW-1003 (Cell membrane);KW-0966 (Cell projection);KW-1015 (Disulfide bond);KW-0297 (G-protein coupled receptor);KW-0325 (Glycoprotein);KW-0472 (Membrane);KW-0597 (Phosphoprotein);KW-1267 (Proteomics identification);KW-0675 (Receptor);KW-1185 (Reference proteome);KW-0732 (Signal);KW-0807 (Transducer);KW-0812 (Transmembrane);KW-1133 (Transmembrane helix);KW-0832 (Ubl conjugation),Hominidae,GPR37L1,G-protein coupled receptor 37-like 1,G37L1_HUMAN
O60895,RAMP family|IC,PF04901 (RAMP)|144.9,,KW-0002 (3D-structure);KW-0025 (Alternative splicing);KW-1003 (Cell membrane);KW-1015 (Disulfide bond);KW-0325 (Glycoprotein);KW-0472 (Membrane);KW-1267 (Proteomics identification);KW-0675 (Receptor);KW-1185 (Reference proteome);KW-0732 (Signal);KW-0812 (Transmembrane);KW-1133 (Transmembrane helix);KW-0813 (Transport),Hominidae,RAMP2,Receptor activity-modifying protein 2,RAMP2_HUMAN
O60896,RAMP family|IC,PF04901 (RAMP)|144.2,,KW-0002 (3D-structure);KW-1003 (Cell membrane);KW-1015 (Disulfide bond);KW-0325 (Glycoprotein);KW-0472 (Membrane);KW-1267 (Proteomics identification);KW-0675 (Receptor);KW-1185 (Reference proteome);KW-0732 (Signal);KW-0812 (Transmembrane);KW-1133 (Transmembrane helix);KW-0813 (Transport),Hominidae,RAMP3,Receptor activity-modifying protein 3,RAMP3_HUMAN
O60902,paired homeobox family|IC,PF00046 (Homeodomain)|86.9;PF03826 (OAR)|33.0,CL0123 (HTH),KW-0025 (Alternative splicing);KW-0217 (Developmental protein);KW-0238 (DNA-binding);KW-0371 (Homeobox);KW-0539 (Nucleus);KW-1267 (Proteomics identification);KW-1185 (Reference proteome),Hominidae,SHOX2,Short stature homeobox protein 2,SHOX2_HUMAN
O60925,prefoldin subunit beta family|IC,PF01920 (Prefoldin_2)|76.0,CL0200 (Prefoldin),KW-0002 (3D-structure);KW-0007 (Acetylation);KW-0143 (Chaperone);KW-1267 (Proteomics identification);KW-1185 (Reference proteome),Hominidae,PFDN1,Prefoldin subunit 1,PFD1_HUMAN
O60934,Nibrin family|IC,PF00498 (FHA)|50.8;PF00533 (BRCT)|24.1;PF08599 (Nbs1_C)|119.0;PF16508 (NIBRIN_BRCT_II)|93.8,CL0357 (SMAD-FHA);CL0459 (BRCT-like),KW-0002 (3D-structure);KW-0131 (Cell cycle);KW-0158 (Chromosome);KW-0903 (Direct protein sequencing);KW-0225 (Disease variant);KW-0227 (DNA damage);KW-0234 (DNA repair);KW-0945 (Host-virus interaction);KW-1017 (Isopeptide bond);KW-0469 (Meiosis);KW-0539 (Nucleus);KW-0597 (Phosphoprotein);KW-1267 (Proteomics identification);KW-1185 (Reference proteome);KW-0779 (Telomere);KW-0832 (Ubl conjugation),Hominidae,NBN,Nibrin,NBN_HUMAN
O75023,,PF00047 (ig)|67.2;PF13895 (Ig_2)|107.0,CL0159 (E-set),KW-1064 (Adaptive immunity);KW-0025 (Alternative splicing);KW-1015 (Disulfide bond);KW-0325 (Glycoprotein);KW-0391 (Immunity);KW-0393 (Immunoglobulin domain);KW-0472 (Membrane);KW-0597 (Phosphoprotein);KW-1267 (Proteomics identification);KW-0675 (Receptor);KW-1185 (Reference proteome);KW-0677 (Repeat);KW-0732 (Signal);KW-0812 (Transmembrane);KW-1133 (Transmembrane helix),Hominidae,LILRB5,Leukocyte immunoglobulin-like receptor subfamily B member 5,LIRB5_HUMAN
O75030,MiT/TFE family|IC,PF00010 (HLH)|58.5;PF11851 (DUF3371)|146.1;PF15951 (MITF_TFEB_C_3_N)|180.4,CL0827 (bHLH),KW-0002 (3D-structure);KW-0010 (Activator);KW-0015 (Albinism);KW-0025 (Alternative splicing);KW-0175 (Coiled coil);KW-0963 (Cytoplasm);KW-0209 (Deafness);KW-0217 (Developmental protein);KW-0225 (Disease variant);KW-0238 (DNA-binding);KW-1017 (Isopeptide bond);KW-0458 (Lysosome);KW-0472 (Membrane);KW-1013 (Microphthalmia);KW-0539 (Nucleus);KW-0987 (Osteopetrosis);KW-0597 (Phosphoprotein);KW-1267 (Proteomics identification);KW-1185 (Reference proteome);KW-0804 (Transcription);KW-0805 (Transcription regulation);KW-0832 (Ubl conjugation);KW-0897 (Waardenburg syndrome),Hominidae,MITF,Microphthalmia-associated transcription factor,MITF_HUMAN
O75037,TRAFAC class myosin-kinesin ATPase superfamily|SAM,PF00225 (Kinesin)|349.3;PF00400 (WD40)|130.9;PF23203 (KIF21A)|205.9;PF23204 (KIF21A_2nd)|104.4;PF25764 (KIF21A_4th)|184.9,CL0023 (P-loop_NTPase);CL0186 (Beta_propeller),KW-0025 (Alternative splicing);KW-0067 (ATP-binding);KW-0966 (Cell projection);KW-0175 (Coiled coil);KW-0963 (Cytoplasm);KW-0968 (Cytoplasmic vesicle);KW-0206 (Cytoskeleton);KW-0493 (Microtubule);KW-0505 (Motor protein);KW-0547 (Nucleotide-binding);KW-0597 (Phosphoprotein);KW-1267 (Proteomics identification);KW-1185 (Reference proteome);KW-0677 (Repeat);KW-0853 (WD repeat),Hominidae,KIF21B,Kinesin-like protein KIF21B,KI21B_HUMAN
O75038,,PF00168 (C2)|61.7;PF00387 (PI-PLC-Y)|138.1;PF00388 (PI-PLC-X)|218.3;PF09279 (EF-hand_like)|55.8;PF16457 (PH_12)|45.4,CL0036 (TIM_barrel);CL0154 (C2);CL0220 (EF_hand);CL0266 (PH),KW-0025 (Alternative splicing);KW-0106 (Calcium);KW-1003 (Cell membrane);KW-0963 (Cytoplasm);KW-0378 (Hydrolase);KW-0442 (Lipid degradation);KW-0443 (Lipid metabolism);KW-0472 (Membrane);KW-0479 (Metal-binding);KW-0597 (Phosphoprotein);KW-1267 (Proteomics identification);KW-1185 (Reference proteome);KW-0677 (Repeat);KW-0807 (Transducer),Hominidae,PLCH2,"1-phosphatidylinositol 4,5-bisphosphate phosphodiesterase eta-2",PLCH2_HUMAN
O75051,plexin family|IC,PF01403 (Sema)|92.0;PF01437 (PSI)|91.6;PF01833 (TIG)|157.8;PF08337 (Plexin_cytopl)|668.6;PF17960 (TIG_plexin)|83.3;PF18020 (TIG_2)|104.9;PF20170 (Plexin_RBD)|162.4;PF24479 (PSI_PlexinA-B)|34.8,CL0072 (Ubiquitin);CL0159 (E-set);CL0186 (Beta_propeller);CL0630 (PSI),KW-0002 (3D-structure);KW-0025 (Alternative splicing);KW-1003 (Cell membrane);KW-0175 (Coiled coil);KW-1015 (Disulfide bond);KW-0325 (Glycoprotein);KW-0472 (Membrane);KW-0597 (Phosphoprotein);KW-1267 (Proteomics identification);KW-1185 (Reference proteome);KW-0677 (Repeat);KW-0732 (Signal);KW-0812 (Transmembrane);KW-1133 (Transmembrane helix),Hominidae,PLXNA2,Plexin-A2,PLXA2_HUMAN
O75063,FAM20 family|IC,PF06702 (Fam20C)|298.6,CL0016 (PKinase),KW-0067 (ATP-binding);KW-1015 (Disulfide bond);KW-0325 (Glycoprotein);KW-0333 (Golgi apparatus);KW-0418 (Kinase);KW-0464 (Manganese);KW-0472 (Membrane);KW-0479 (Metal-binding);KW-0547 (Nucleotide-binding);KW-1267 (Proteomics identification);KW-1185 (Reference proteome);KW-0735 (Signal-anchor);KW-0808 (Transferase);KW-0812 (Transmembrane);KW-1133 (Transmembrane helix),Hominidae,FAM20B,Glycosaminoglycan xylosylkinase,XYLK_HUMAN
O75078,,PF00200 (Disintegrin)|63.7;PF01421 (Reprolysin)|228.1;PF01562 (Pep_M12B_propep)|56.0;PF08516 (ADAM_CR)|84.4;PF23106 (EGF_Teneurin)|28.6,CL0001 (EGF);CL0126 (Peptidase_MA);CL0750 (ADAM_CR_sf),KW-0025 (Alternative splicing);KW-1003 (Cell membrane);KW-0966 (Cell projection);KW-0165 (Cleavage on pair of basic residues);KW-1015 (Disulfide bond);KW-0245 (EGF-like domain);KW-0325 (Glycoprotein);KW-0472 (Membrane);KW-1267 (Proteomics identification);KW-1185 (Reference proteome);KW-0732 (Signal);KW-0770 (Synapse);KW-0812 (Transmembrane);KW-1133 (Transmembrane helix),Hominidae,ADAM11,Disintegrin and metalloproteinase domain-containing protein 11,ADA11_HUMAN
O75081,CBFA2T family|IC,PF01753 (zf-MYND)|33.8;PF07531 (TAFH)|121.6;PF08788 (NHR2)|124.4,CL0175 (TRASH),KW-0002 (3D-structure);KW-0025 (Alternative splicing);KW-0160 (Chromosomal rearrangement);KW-0175 (Coiled coil);KW-0221 (Differentiation);KW-0333 (Golgi apparatus);KW-0472 (Membrane);KW-0479 (Metal-binding);KW-0539 (Nucleus);KW-0597 (Phosphoprotein);KW-1267 (Proteomics identification);KW-1185 (Reference proteome);KW-0678 (Repressor);KW-0804 (Transcription);KW-0805 (Transcription regulation);KW-0862 (Zinc);KW-0863 (Zinc-finger),Hominidae,CBFA2T3,Transcriptional corepressor CBFA2T3,MTG16_HUMAN
O75084,G-protein coupled receptor Fz/Smo family|IC,PF01392 (Fz)|121.7;PF01534 (Frizzled)|472.5,CL0192 (GPCR_A);CL0644 (Fz),KW-0002 (3D-structure);KW-1003 (Cell membrane);KW-0217 (Developmental protein);KW-1015 (Disulfide bond);KW-0967 (Endosome);KW-0297 (G-protein coupled receptor);KW-0325 (Glycoprotein);KW-0472 (Membrane);KW-1267 (Proteomics identification);KW-0675 (Receptor);KW-1185 (Reference proteome);KW-0732 (Signal);KW-0807 (Transducer);KW-0812 (Transmembrane);KW-1133 (Transmembrane helix);KW-0832 (Ubl conjugation);KW-0879 (Wnt signaling pathway),Hominidae,FZD7,Frizzled-7,FZD7_HUMAN
O75096,LDLR family|IC,PF00057 (Ldl_recept_a)|288.2;PF00058 (Ldl_recept_b)|609.0;PF12662 (cEGF)|67.2;PF14670 (FXa_inhibition)|169.9,CL0001 (EGF);CL0186 (Beta_propeller),KW-0002 (3D-structure);KW-0106 (Calcium);KW-1003 (Cell membrane);KW-1004 (Congenital myasthenic syndrome);KW-0217 (Developmental protein);KW-0221 (Differentiation);KW-0225 (Disease variant);KW-1015 (Disulfide bond);KW-0245 (EGF-like domain);KW-0254 (Endocytosis);KW-0325 (Glycoprotein);KW-0472 (Membrane);KW-1267 (Proteomics identification);KW-0675 (Receptor);KW-1185 (Reference proteome);KW-0677 (Repeat);KW-0732 (Signal);KW-0812 (Transmembrane);KW-1133 (Transmembrane helix);KW-0879 (Wnt signaling pathway),Hominidae,LRP4,Low-density lipoprotein receptor-related protein 4,LRP4_HUMAN
O75122,CLASP family|IC,PF12348 (CLASP_N)|118.5;PF23271 (HEAT_GCN1)|57.8,CL0020 (TPR),KW-0002 (3D-structure);KW-0025 (Alternative splicing);KW-0131 (Cell cycle);KW-0132 (Cell division);KW-1003 (Cell membrane);KW-0966 (Cell projection);KW-0137 (Centromere);KW-0158 (Chromosome);KW-0963 (Cytoplasm);KW-0206 (Cytoskeleton);KW-0333 (Golgi apparatus);KW-0995 (Kinetochore);KW-0472 (Membrane);KW-0493 (Microtubule);KW-0498 (Mitosis);KW-0597 (Phosphoprotein);KW-1267 (Proteomics identification);KW-1185 (Reference proteome);KW-0677 (Repeat),Hominidae,CLASP2,CLIP-associating protein 2,CLAP2_HUMAN
O75127,PTCD1 family|IC,PF13812 (PPR_3)|85.6;PF17177 (PPR_long)|70.5,CL0020 (TPR),KW-0496 (Mitochondrion);KW-1267 (Proteomics identification);KW-1185 (Reference proteome);KW-0677 (Repeat);KW-0819 (tRNA processing),Hominidae,PTCD1,"Pentatricopeptide repeat-containing protein 1, mitochondrial",PTCD1_HUMAN
O75128,,PF02205 (WH2)|57.4;PF09469 (Cobl)|162.7,CL0072 (Ubiquitin),KW-0002 (3D-structure);KW-0009 (Actin-binding);KW-0025 (Alternative splicing);KW-1003 (Cell membrane);KW-0966 (Cell projection);KW-0963 (Cytoplasm);KW-0206 (Cytoskeleton);KW-0472 (Membrane);KW-0597 (Phosphoprotein);KW-1267 (Proteomics identification);KW-1185 (Reference proteome);KW-0677 (Repeat),Hominidae,COBL,Protein cordon-bleu,COBL_HUMAN
O75143,ATG13 family|IC,PF10033 (ATG13)|50.5,CL0651 (Mad2),KW-0002 (3D-structure);KW-0007 (Acetylation);KW-0025 (Alternative splicing);KW-0072 (Autophagy);KW-0963 (Cytoplasm);KW-0597 (Phosphoprotein);KW-1267 (Proteomics identification);KW-1185 (Reference proteome),Hominidae,ATG13,Autophagy-related protein 13,ATG13_HUMAN
